,plate,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Absolute Count,P1 Count,P1 % Parent,P1 % Grand Parent,P1 % Total,P1 Count/uL,P1 Absolute Count,live Count,live % Parent,live % Grand Parent,live % Total,live Count/uL,live Absolute Count,bead Count,bead % Parent,bead % Grand Parent,bead % Total,bead Count/uL,bead Absolute Count,A549 Count,A549 % Parent,A549 % Grand Parent,A549 % Total,A549 Count/uL,A549 Absolute Count
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B2 Well_011,2,14152,100,100,100,197.38,N/A,1585,11.2,11.2,11.2,22.11,N/A,1400,89.97,88.33,9.89,19.53,N/A,2842,76.98,20.08,20.08,39.64,N/A,1463,45.82,37.7,10.34,20.4,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B3 Well_012,2,14160,100,100,100,198.9,N/A,1597,11.28,11.28,11.28,22.43,N/A,1391,90.68,87.1,9.82,19.54,N/A,2815,77.42,19.88,19.88,39.54,N/A,1540,47.4,38.13,10.88,21.63,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B4 Well_013,2,13632,100,100,100,190.9,N/A,2250,16.51,16.51,16.51,31.51,N/A,1948,90.73,86.58,14.29,27.28,N/A,2984,81.04,21.89,21.89,41.79,N/A,1027,42.35,33.85,7.53,14.38,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B5 Well_014,2,11768,100,100,100,166.57,N/A,1749,14.86,14.86,14.86,24.76,N/A,1535,90.4,87.76,13.04,21.73,N/A,3224,85.59,27.4,27.4,45.63,N/A,848,42.48,33.58,7.21,12,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B6 Well_015,2,14184,100,100,100,198.57,N/A,2313,16.31,16.31,16.31,32.38,N/A,1997,90.77,86.34,14.08,27.96,N/A,3027,80.38,21.34,21.34,42.38,N/A,1033,40.72,32.26,7.28,14.46,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B7 Well_016,2,15000,100,100,100,284.52,N/A,1619,10.79,10.79,10.79,30.71,N/A,1312,85.31,81.04,8.75,24.89,N/A,2215,74.78,14.77,14.77,42.01,N/A,1940,48.25,39.69,12.93,36.8,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B8 Well_017,2,15000,100,100,100,298.33,N/A,1544,10.29,10.29,10.29,30.71,N/A,1292,86.48,83.68,8.61,25.7,N/A,2308,77.71,15.39,15.39,45.9,N/A,2071,50.24,41.5,13.81,41.19,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-B9 Well_018,2,15000,100,100,100,308.83,N/A,1753,11.69,11.69,11.69,36.09,N/A,1474,86.96,84.08,9.83,30.35,N/A,2177,76.6,14.51,14.51,44.82,N/A,1956,48.14,40,13.04,40.27,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C1 Well_019,2,13832,100,100,100,195.37,N/A,1510,10.92,10.92,10.92,21.33,N/A,1297,88.77,85.89,9.38,18.32,N/A,2994,81.6,21.65,21.65,42.29,N/A,1280,44.87,37.5,9.25,18.08,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C2 Well_020,2,15000,100,100,100,352.61,N/A,1654,11.03,11.03,11.03,38.88,N/A,1300,89.41,78.6,8.67,30.56,N/A,2941,79.27,19.61,19.61,69.13,N/A,1213,41.19,32.91,8.09,28.51,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C3 Well_021,2,12760,100,100,100,178.49,N/A,1459,11.43,11.43,11.43,20.41,N/A,1289,90.9,88.35,10.1,18.03,N/A,2835,79.57,22.22,22.22,39.66,N/A,1324,48.29,40.39,10.38,18.52,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C4 Well_022,2,15000,100,100,100,275.63,N/A,1878,12.52,12.52,12.52,34.51,N/A,1600,88.06,85.2,10.67,29.4,N/A,2326,76.41,15.51,15.51,42.74,N/A,2046,48.78,40.65,13.64,37.6,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C5 Well_023,2,15000,100,100,100,271.25,N/A,1739,11.59,11.59,11.59,31.45,N/A,1496,88.1,86.03,9.97,27.05,N/A,2470,79.12,16.47,16.47,44.67,N/A,2116,48.72,41.33,14.11,38.26,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C6 Well_024,2,15000,100,100,100,281.95,N/A,1863,12.42,12.42,12.42,35.02,N/A,1580,87.39,84.81,10.53,29.7,N/A,2314,75.52,15.43,15.43,43.5,N/A,2081,48.43,40.34,13.87,39.12,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C7 Well_025,2,15000,100,100,100,293.2,N/A,1579,10.53,10.53,10.53,30.86,N/A,1304,85.23,82.58,8.69,25.49,N/A,2230,73.94,14.87,14.87,43.59,N/A,1911,48.17,39.11,12.74,37.35,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C8 Well_026,2,15000,100,100,100,306.56,N/A,1565,10.43,10.43,10.43,31.98,N/A,1305,85.97,83.39,8.7,26.67,N/A,2281,76.9,15.21,15.21,46.62,N/A,2019,49.05,40.63,13.46,41.26,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-C9 Well_027,2,15000,100,100,100,309.02,N/A,1619,10.79,10.79,10.79,33.35,N/A,1371,87.27,84.68,9.14,28.24,N/A,2213,74.94,14.75,14.75,45.59,N/A,1970,48.83,40.56,13.13,40.59,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D1 Well_028,2,15000,100,100,100,215.64,N/A,1571,10.47,10.47,10.47,22.58,N/A,1154,90.94,73.46,7.69,16.59,N/A,2908,79.61,19.39,19.39,41.81,N/A,891,36.74,26.72,5.94,12.81,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D2 Well_029,2,12064,100,100,100,171.05,N/A,1340,11.11,11.11,11.11,19,N/A,1212,91.96,90.45,10.05,17.18,N/A,2807,81.39,23.27,23.27,39.8,N/A,896,40.38,32.56,7.43,12.7,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D3 Well_030,2,12496,100,100,100,176.37,N/A,1327,10.62,10.62,10.62,18.73,N/A,1183,91.78,89.15,9.47,16.7,N/A,2907,81.36,23.26,23.26,41.03,N/A,899,39.33,32,7.19,12.69,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D4 Well_031,2,15000,100,100,100,252.74,N/A,2647,17.65,17.65,17.65,44.6,N/A,2411,93.09,91.08,16.07,40.62,N/A,2589,80.6,17.26,17.26,43.62,N/A,1519,45.25,37.36,10.13,25.59,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D5 Well_032,2,15000,100,100,100,242.33,N/A,2612,17.41,17.41,17.41,42.2,N/A,2383,92.98,91.23,15.89,38.5,N/A,2688,81.8,17.92,17.92,43.42,N/A,1650,48.46,40.39,11,26.66,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D6 Well_033,2,15000,100,100,100,258.49,N/A,2736,18.24,18.24,18.24,47.15,N/A,2493,92.54,91.12,16.62,42.96,N/A,2561,81.33,17.07,17.07,44.13,N/A,1585,46.35,38.6,10.57,27.31,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D7 Well_034,2,15000,100,100,100,268.14,N/A,1615,10.77,10.77,10.77,28.87,N/A,1472,92.58,91.15,9.81,26.31,N/A,2418,77.8,16.12,16.12,43.22,N/A,1326,37.34,30.55,8.84,23.7,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D8 Well_035,2,15000,100,100,100,268.58,N/A,1629,10.86,10.86,10.86,29.17,N/A,1472,91.77,90.36,9.81,26.36,N/A,2518,78.79,16.79,16.79,45.09,N/A,1314,36.73,30.42,8.76,23.53,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-D9 Well_036,2,15000,100,100,100,261.96,N/A,1680,11.2,11.2,11.2,29.34,N/A,1532,92.62,91.19,10.21,26.76,N/A,2526,79.14,16.84,16.84,44.11,N/A,1279,37.47,30.63,8.53,22.34,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-E1 Well_037,2,15000,100,100,100,230.8,N/A,1586,10.57,10.57,10.57,24.4,N/A,1117,90.81,70.43,7.45,17.19,N/A,2841,77.99,18.94,18.94,43.71,N/A,971,35.48,26.53,6.47,14.94,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-E2 Well_038,2,15000,100,100,100,260.15,N/A,1580,10.53,10.53,10.53,27.4,N/A,1046,90.72,66.2,6.97,18.14,N/A,2527,74.65,16.85,16.85,43.83,N/A,815,33.21,23.49,5.43,14.13,N/A
20241115_TCSL248_wk1count_redo-plate 2-Group_001-E3 Well_039,2,13352,100,100,100,185.88,N/A,1346,10.08,10.08,10.08,18.74,N/A,1163,90.09,86.4,8.71,16.19,N/A,2922,80.76,21.88,21.88,40.68,N/A,1075,37.8,30.45,8.05,14.97,N/A
