well,cell_count,cytokine,freq,gate_clean,sample,donor,car_name,expt,CAR,subset
C2,2793,TNFa,8.9,TNFa_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C3,3566,IL2,1.26,IL2_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C3,3566,IFNg,2.25,IFNg_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C3,3566,TNFa,1.49,TNFa_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,IL2,1.11,IL2_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,IFNg,1.57,IFNg_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,TNFa,1.15,TNFa_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C5,6314,IL2,53.53,IL2_pos,,,,TCSL247_NA,,CD3
C5,6314,IFNg,67.76,IFNg_pos,,,,TCSL247_NA,,CD3
C5,6314,TNFa,92.91,TNFa_pos,,,,TCSL247_NA,,CD3
C6,6514,IL2,52.46,IL2_pos,,,,TCSL247_NA,,CD3
C6,6514,IFNg,67.6,IFNg_pos,,,,TCSL247_NA,,CD3
C6,6514,TNFa,92.7,TNFa_pos,,,,TCSL247_NA,,CD3
C7,5106,IL2,51.51,IL2_pos,,,,TCSL247_NA,,CD3
C7,5106,IFNg,44.69,IFNg_pos,,,,TCSL247_NA,,CD3
C7,5106,TNFa,78.16,TNFa_pos,,,,TCSL247_NA,,CD3
C8,2355,IL2,45.97,IL2_pos,,,,TCSL247_NA,,CD3
C8,2355,IFNg,41.71,IFNg_pos,,,,TCSL247_NA,,CD3
C8,2355,TNFa,69.06,TNFa_pos,,,,TCSL247_NA,,CD3
C9,3599,IL2,0.98,IL2_pos,,,,TCSL247_NA,,CD3
C9,3599,IFNg,1.3,IFNg_pos,,,,TCSL247_NA,,CD3
C9,3599,TNFa,5.29,TNFa_pos,,,,TCSL247_NA,,CD3
